RANK,NAME,KEEP?,POS,,TEAM,AGE,SALARY,FP,/GP,VORP,/$,ADP,DIFF.,,ADJ,GP,TOI,G,A,PTS,SOG,PPG,PPP,SHG,SHP,BLK,HIT,+/-,PIM,GWG,FOW,FOL,FO%,,GP,W,L,OTL,SO,SV,GA,SV%,GAA
97,Zeev Buium,N,D,38,MIN,20,CA$1.0,2.2,0,-0.2,-0.2,—,N/A,,+ + +,70,18,8,26,34,134,2,7,0,0,84,124,2,56,1,0,0,0%,,,,,,,,,,
98,Noah Hanifin,N,D,39,VGK,29,CA$7.4,2.1,0,-0.3,0,162.9,64.9,, ,81,23,10,32,42,162,2,8,0,1,119,57,6,27,2,0,0,0%,,,,,,,,,,
99,Jesper Bratt,N,"LW,RW",23,N.J,27,CA$7.9,7.9,0.1,-0.3,0,38.9,-60.1,, ,82,19.1,26,57,83,203,6,29,1,2,40,83,6,18,4,1,5,13%,,,,,,,,,,
100,Thomas Chabot,N,D,40,OTT,29,CA$8.0,2,0,-0.3,0,161.3,61.3,, ,76,22.9,10,30,39,162,2,8,0,0,136,62,2,36,2,0,0,0%,,,,,,,,,,
101,Clayton Keller,N,"LW,RW",24,UTA,27,CA$7.2,7.7,0.1,-0.5,-0.1,40.4,-60.6,, ,81,19.1,32,53,85,221,10,32,0,0,32,20,0,33,5,15,25,38%,,,,,,,,,,
102,Vince Dunn,N,D,41,SEA,29,CA$7.4,1.8,0,-0.6,-0.1,112.3,10.3,, ,75,22.2,12,38,51,154,2,14,0,0,95,50,-3,47,2,0,0,0%,,,,,,,,,,
103,Brayden McNabb,N,D,42,VGK,35,CA$3.7,1.8,0,-0.6,-0.2,177,74,, ,82,20.3,4,19,23,96,0,0,0,2,175,135,8,37,1,0,0,0%,,,,,,,,,,
104,Kris Letang,N,D,43,PIT,38,CA$6.1,1.8,0,-0.6,-0.1,175.1,71.1,, ,79,23.7,10,30,40,165,3,10,0,0,119,119,-6,48,1,0,0,0%,,,,,,,,,,
105,Alex Tuch,N,RW,26,BUF,29,CA$4.8,7.1,0.1,-0.6,-0.1,134.7,29.7,, ,80,18.9,31,35,67,200,4,13,3,4,94,72,2,40,4,65,93,41%,,,,,,,,,,
106,Jackson Lacombe,N,D,44,ANA,25,CA$0.9,1.7,0,-0.6,-0.7,119,13,,+,78,23.6,12,34,46,144,3,14,0,1,143,73,-4,35,2,0,1,0%,,,,,,,,,,
107,Nick Suzuki,N,C,26,MTL,26,CA$7.9,7.4,0.1,-0.7,-0.1,54.4,-52.6,, ,82,20.8,31,49,80,179,7,25,2,2,65,64,2,25,5,689,665,51%,,,,,,,,,,
108,Rasmus Andersson,N,D,45,CGY,29,CA$4.6,1.6,0,-0.8,-0.2,162.5,54.5,, ,81,24,10,29,39,162,2,11,0,1,184,48,-6,42,1,0,0,0%,,,,,,,,,,
109,Stuart Skinner,N,G,12,EDM,26,CA$2.6,1.9,0,-0.8,-0.3,131.5,22.5,, ,,,,,,,,,,,,,,,,,,,,50,31,14,5,3,"1,293",137,0.904,2.75
110,Will Cuylle,N,"LW,RW",25,NYR,24,CA$3.9,7.4,0.1,-0.8,-0.2,—,N/A,, ,82,16.3,22,23,45,165,4,8,2,3,48,277,2,50,4,9,24,26%,,,,,,,,,,
111,Filip Hronek,N,D,46,VAN,28,CA$7.3,1.5,0,-0.8,-0.1,162.3,51.3,, ,76,23.9,7,36,43,125,1,10,0,0,100,101,2,39,1,0,1,38%,,,,,,,,,,
112,Mattias Ekholm,N,D,47,EDM,35,CA$6.0,1.4,0,-1,-0.2,166.8,54.8,,-,72,21.8,8,24,32,145,1,2,0,1,106,73,9,35,1,0,0,0%,,,,,,,,,,
113,Frederik Andersen,N,G,13,CAR,35,CA$2.8,1.6,0.1,-1,-0.4,155.1,42.1,, ,,,,,,,,,,,,,,,,,,,,30,17,9,3,2,778,81,0.905,2.71
114,Logan Cooley,N,C,27,UTA,21,CA$1.0,7.1,0.1,-1,-1.1,147.7,33.7,,+,80,19.2,30,45,75,193,9,27,0,0,34,67,0,40,5,362,504,42%,,,,,,,,,,
115,Dylan Cozens,N,C,28,OTT,25,CA$7.1,7.1,0.1,-1.1,-0.2,167.2,52.2,,+,82,18.1,22,37,60,213,6,17,1,1,41,164,0,43,4,598,639,48%,,,,,,,,,,
116,Drake Batherson,N,"LW,RW",26,OTT,27,CA$5.0,7.1,0.1,-1.1,-0.2,83.2,-32.8,,+,82,17.9,26,41,67,200,10,26,0,0,32,125,1,32,4,15,20,43%,,,,,,,,,,
117,Joseph Woll,N,G,14,TOR,27,CA$3.7,1.6,0,-1.1,-0.3,146.8,29.8,, ,,,,,,,,,,,,,,,,,,,,38,21,13,4,2,"1,001",103,0.906,2.72
118,Drew Doughty,N,D,48,L.A,36,CA$11.0,1.3,0,-1.1,-0.1,124.8,6.8,, ,78,23.1,10,28,38,115,2,9,0,0,119,81,2,38,1,0,0,0%,,,,,,,,,,
119,Brenden Dillon,N,D,49,N.J,35,CA$4.0,1.2,0,-1.2,-0.3,—,N/A,, ,81,18.6,4,15,19,64,0,0,0,1,113,178,2,65,1,0,0,0%,,,,,,,,,,
120,Zach Hyman,N,"LW,RW",27,EDM,33,CA$5.5,7,0.1,-1.2,-0.2,112.4,-7.6,, ,68,19,33,23,56,207,9,16,0,0,25,60,11,34,5,3,4,44%,,,,,,,,,,
121,Oliver Ekman-Larsson,N,D,50,TOR,34,CA$3.5,1.2,0,-1.2,-0.3,179,58,, ,78,20.5,6,25,32,124,1,7,0,0,87,106,4,48,1,0,0,0%,,,,,,,,,,
122,Ilya Sorokin,N,G,15,NYI,30,CA$8.3,1.4,0,-1.2,-0.1,58.1,-63.9,, ,,,,,,,,,,,,,,,,,,,,55,26,22,7,4,"1,466",146,0.91,2.65
123,Pyotr Kochetkov,N,G,16,CAR,26,CA$2.0,1.4,0,-1.2,-0.6,109.2,-13.8,, ,,,,,,,,,,,,,,,,,,,,45,26,14,5,3,"1,165",124,0.904,2.75
124,Jacob Middleton,N,D,51,MIN,30,CA$4.0,1.1,0,-1.3,-0.3,—,N/A,, ,79,20.7,7,16,23,99,0,0,0,1,164,117,0,55,1,0,0,0%,,,,,,,,,,
